"path","size_bytes","reason"
"new_pipeline/data/output/experiments/pv_focused_structured_load_bias_bridge/id_h24_pvfocus_base_tkm_lowpv_safe_K5_scenarios.parquet","36026041","final-evidence"
"new_pipeline/data/output/experiments/pv_focused_structured_load_bias_bridge/load_bias_profiles.parquet","256473","final-evidence"
"new_pipeline/data/output/experiments/pv_focused_structured_load_bias_bridge/PV_FOCUSED_VALIDATION_REFRAMED_LOW_PV_FIX_REPORT.md","16525","final-evidence"
"new_pipeline/data/output/experiments/scheduling_pv_focus_ccor_v2_full_year_m150/annual_cost_summary_realized_basis.csv","816","final-evidence"
"new_pipeline/data/output/experiments/scheduling_pv_focus_lowpv_safe_da_mpc/annual_cost_summary_realized_basis.csv","1333","final-evidence"
"new_pipeline/data/output/experiments/tailaware_ablation_pvfocus_km_vs_tkm/annual_cost_summary_realized_basis.csv","712","final-evidence"
"new_pipeline/data/output/experiments/tailaware_ablation_pvfocus_km_vs_tkm/km_vs_tkm_delta_comparison.csv","766","final-evidence"
"new_pipeline/scripts/experiments/exp_pv_focus_build_netload_scenarios.py","3096","final-code"
"new_pipeline/scripts/experiments/exp_pv_focus_generate_pv_scenarios.py","2354","final-code"
"new_pipeline/scripts/experiments/exp_pv_focus_lowpv_reduction_fix.py","12035","final-code"
"new_pipeline/scripts/experiments/exp_pv_focus_reduce_scenarios.py","4320","final-code"
"new_pipeline/scripts/experiments/exp_pv_focus_reframed_validation.py","15205","final-code"
"new_pipeline/scripts/experiments/exp_pv_focus_tail_failure_attribution_audit.py","21233","final-code"
"new_pipeline/scripts/experiments/exp_pv_focus_validate_scenarios.py","9206","final-code"
"new_pipeline/scripts/experiments/exp_rebuild_pv_truth_from_cwa_ghi.py","7664","final-code"
"new_pipeline/scripts/experiments/pv_focus_bridge_utils.py","15260","final-code"
"new_pipeline/scripts/experiments/run_final_four_load_bias_robustness_pvfocus.py","29365","final-code"
"new_pipeline/scripts/experiments/run_id_h24_ghi_prob_q19_forecast_only_v1.py","23598","final-code"
"new_pipeline/scripts/experiments/run_id_h24_ghi_prob_q19_independent_agaci_v4.py","39599","final-code"
"new_pipeline/scripts/experiments/run_scheduling_pv_focus_ccor_mpc.py","36005","final-code"
"new_pipeline/scripts/experiments/run_scheduling_pv_focus_ccor_v2_full_year_m150.py","23517","final-code"
"new_pipeline/scripts/experiments/run_scheduling_pv_focus_ccor_v2_smoke.py","35476","final-code"
"new_pipeline/scripts/experiments/run_scheduling_pv_focus_da_mpc.py","22686","final-code"
"new_pipeline/scripts/experiments/run_tailaware_ablation_pvfocus_km_vs_tkm.py","18179","final-code"
"new_pipeline/scripts/experiments/write_final_thesis_method_result_report_pvfocus.py","41639","final-code"
"new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\CWA_GHI_PV_TRUTH_REBUILD_REPORT.md","3056","compact-final-evidence"
"new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\cwa_pv_truth_monthly_summary.csv","1214","compact-final-evidence"
"new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\cwa_pv_truth_summary.csv","416","compact-final-evidence"
"new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\cwa_pv_truth_vs_old_invalid_pv_comparison.csv","882623","compact-final-evidence"
"new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\pv_truth_replacement_status.csv","507","compact-final-evidence"
"new_pipeline\data\output\experiments\cwa_ghi_pv_truth_rebuild\PV_TRUTH_SOURCE_AUDIT_AND_REBUILD_SUMMARY.md","8007","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\candidate_jump_p2575.png","493566","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\candidate_overcast.png","466190","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\candidate_variable_days.png","571393","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig1_agaci.png","1042771","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig2_scenarios.png","1418803","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig3_pcsta.png","744139","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig4_multiday_forecast.png","225871","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig4_test.png","23151","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig5_cost_breakdown.png","119014","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig5a_cost_breakdown_bar.png","114624","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig5b_cost_breakdown_table.png","88319","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig6_over_contract.png","140518","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig6a_over_contract_bar.png","130005","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\fig6b_over_contract_table.png","125790","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\table1_agaci_metrics.csv","230","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\table2_scenario_coverage.csv","271","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\table3_pit_histogram.csv","336","compact-final-evidence"
"new_pipeline\data\output\experiments\figures\table4_scenario_metrics_summary.csv","183","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\annual_cost_summary_realized_basis.csv","2526","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\ccor_shield_audit.csv","4969","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\cost_component_breakdown.csv","2526","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\FINAL_FOUR_LOAD_BIAS_ROBUSTNESS_REPORT.md","54035","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\load_profile_usage_audit.csv","486","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\monthly_cost_summary.csv","14455","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\monthly_peak_summary.csv","7918","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\oc_event_summary.csv","887","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\replay_truth_usage_audit.csv","371","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\robustness_delta_comparison.csv","2063","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\scenario_usage_audit.csv","815","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\solver_status_summary.csv","901","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\structured_load_bias_comparison.csv","1652","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\structured_load_bias_profile_check.csv","1645","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\structured_low_high_scenario_validation_summary.csv","815","compact-final-evidence"
"new_pipeline\data\output\experiments\final_four_load_bias_robustness_pvfocus\structured_low_high_scenario_weight_summary.csv","964912","compact-final-evidence"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\agaci_publication_table_summary.csv","232","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\final_case_definition_table.csv","808","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\final_four_delta_comparison.csv","1107","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\final_four_main_case_summary.csv","1455","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\final_report_source_manifest.csv","1652","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\FINAL_THESIS_METHOD_AND_RESULTS_REPORT_PVFOCUS.md","53800","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\ghi_point_model_comparison_summary.csv","723","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\ghi_probabilistic_agaci_summary.csv","8385","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\load_bias_robustness_summary.csv","2513","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\method_component_traceability.csv","3551","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\milp_equation_traceability.csv","3114","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\tailaware_ablation_delta_summary.csv","760","final-report"
"new_pipeline\data\output\experiments\final_thesis_method_result_report_pvfocus\tailaware_ablation_summary.csv","708","final-report"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\DA_PROB_GHI_PV_PIPELINE_AUDIT.md","7500","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\FINAL_ID_H24_GHI_PROBABILISTIC_MODEL_SELECTION_REPORT.md","6106","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\FINAL_ID_H24_PV_FORECAST_READINESS_REPORT.md","5368","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_ghi_prob_metrics.csv","8382","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_ghi_prob_metrics.md","3002","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_pv_low_tail_audit.md","2171","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_pv_physical_validity_report.md","1578","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_pv_point_metrics.csv","1018","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_pv_point_metrics.md","2141","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_pv_prob_metrics.csv","1560","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\id_h24_pv_prob_metrics.md","2330","compact-final-evidence"
"new_pipeline\data\output\experiments\id_h24_ghi_prob\PV_CONVERSION_FORMULA_AUDIT.md","3665","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\FINAL_LITERATURE_GUIDED_ID_H24_GHI_POINT_MODEL_SELECTION_REPORT.md","9891","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_critical_window_metrics.csv","11128","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_model_comparison.csv","6616","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_model_comparison.md","3680","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_physical_validity.csv","621","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_physical_validity_report.md","953","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_regime_analysis.md","2229","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_regime_rmse.csv","2196","compact-final-evidence"
"new_pipeline\data\output\experiments\lit_guided_id_h24_ghi\literature_guided_id_h24_ghi_regime_stats.csv","291","compact-final-evidence"
"new_pipeline\data\output\experiments\main_forecasting_model_comparison\aligned_main_model_comparison.csv","363","compact-final-evidence"
"new_pipeline\data\output\experiments\main_forecasting_model_comparison\extended_model_comparison.csv","1394","compact-final-evidence"
"new_pipeline\data\output\experiments\main_forecasting_model_comparison\main_model_comparison.csv","720","compact-final-evidence"
"new_pipeline\data\output\experiments\main_forecasting_model_comparison\MODEL_COMPARISON_SUMMARY.md","6699","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\CCOR_MPC_NEXT_EXPERIMENT_PLAN.md","335","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\load_bias_monthly_peak_summary.csv","2784","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\load_bias_profile_summary.csv","373","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PHASE_PV_FOCUS_STRUCTURED_LOAD_BIAS_FINAL_REPORT.md","12395","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_FOCUSED_LOW_PV_REDUCTION_FIX_REPORT.md","1724","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_FOCUSED_NETLOAD_BUILD_REPORT.md","1659","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_FOCUSED_SCENARIO_REDUCTION_REPORT.md","5700","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_FOCUSED_SCENARIO_VALIDATION_REPORT.md","16637","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_FOCUSED_VALIDATION_REFRAMED_LOW_PV_FIX_REPORT.md","16525","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_FOCUSED_VALIDATION_REFRAMED_REPORT.md","16802","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_RAW_SCENARIO_GENERATION_REPORT.md","1008","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pv_raw_scenario_generation_summary.csv","243","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pv_truth_package_usage_audit.csv","815","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\PV_TRUTH_PACKAGE_USAGE_AUDIT.md","2803","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_daily_max_netload_coverage.csv","1553","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_load_bias_sanity_summary.csv","357","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_lowpv_medoid_selection_audit.csv","8619744","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_lowpv_reduction_summary.csv","317","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_lowpv_scenario_weight_summary.csv","3922301","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_medoid_selection_audit.csv","7930069","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_oc_risk_coverage_comparison.csv","2536","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_scenario_reduction_summary.csv","4164","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_scenario_validation_summary.csv","6432","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_scenario_weight_distribution.csv","1695","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_scenario_weights.csv","27573165","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocus_tail_coverage_comparison.csv","1974","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_lowpv_fix_diagnostic_metrics.csv","1833","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_lowpv_fix_passfail_metrics.csv","3827","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_lowpv_fix_validation_metrics.csv","3581","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_lowpv_fix_weight_summary.csv","1103","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_netload_build_summary.csv","695","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_reframed_diagnostic_metrics.csv","3199","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_reframed_passfail_metrics.csv","3382","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_reframed_validation_metrics.csv","3893","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\pvfocused_reframed_weight_summary.csv","550","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\structured_load_bias_matrix.csv","550","compact-final-evidence"
"new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\STRUCTURED_LOAD_BIAS_PROFILE_REPORT.md","2772","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\annual_cost_summary_realized_basis.csv","816","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\CCOR_V2_FULL_YEAR_M150_FINAL_REPORT.md","19664","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\comparison_vs_benchmarks.csv","1015","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\cost_component_breakdown.csv","816","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\first_step_charging_near_risk_summary.csv","236","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\first_step_peak_shield_audit.csv","4625447","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\june_peak_event_audit.csv","3345","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\monthly_cost_summary.csv","3230","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\monthly_peak_summary.csv","1558","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\oc_event_summary.csv","218","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\replay_truth_usage_audit.csv","364","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\scenario_usage_audit.csv","457","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\shield_slack_summary.csv","253","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\soc_behavior_around_peak_events.csv","61916","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\solver_status_summary.csv","248","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_ccor_v2_full_year_m150\top_peak_event_comparison.csv","5248","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\annual_cost_summary_realized_basis.csv","1333","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\CCOR_MPC_NEXT_EXPERIMENT_PLAN.md","289","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\cost_component_breakdown.csv","1333","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\DA_MPC_PV_FOCUS_LOWPV_SAFE_FINAL_REPORT.md","10462","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\monthly_cost_summary.csv","4243","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\monthly_peak_summary.csv","2262","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\oc_event_summary.csv","317","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\pairwise_comparison_summary.csv","987","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\replay_truth_usage_audit.csv","418","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\SCENARIO_AND_REPLAY_USAGE_AUDIT.md","3267","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\scenario_usage_audit.csv","881","compact-final-evidence"
"new_pipeline\data\output\experiments\scheduling_pv_focus_lowpv_safe_da_mpc\solver_status_summary.csv","339","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\annual_cost_summary_realized_basis.csv","712","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\cost_component_breakdown.csv","712","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\KM_SCENARIO_PREPARATION_REPORT.md","1699","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\km_scenario_usage_audit.csv","619","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\km_scenario_weight_summary.csv","345861","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\km_vs_tkm_delta_comparison.csv","766","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\monthly_cost_summary.csv","2790","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\monthly_peak_summary.csv","1296","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\oc_event_summary.csv","194","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\replay_truth_usage_audit.csv","390","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\scenario_usage_audit.csv","619","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\solver_status_summary.csv","226","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\tailaware_ablation_interpretation.csv","277","compact-final-evidence"
"new_pipeline\data\output\experiments\tailaware_ablation_pvfocus_km_vs_tkm\TAILAWARE_ABLATION_REPORT.md","10351","compact-final-evidence"
"new_pipeline\data\output\oral_slide_ghi_quantile_calibration_v2\figures\ghi_agaci_before_after_quantile_bands.png","449534","optional-thesis-figure-package"
"new_pipeline\data\output\oral_slide_ghi_quantile_calibration_v2\GHI_AGACI_BEFORE_AFTER_SLIDE_AUDIT.md","10814","optional-thesis-figure-package"
"new_pipeline\data\output\oral_slide_ghi_quantile_calibration_v2\slide_copy.md","681","optional-thesis-figure-package"
"new_pipeline\data\output\oral_slide_ghi_quantile_calibration_v2\slide9_calibrate_ghi_quantiles\figures\slide9_ghi_calibration_before_after.png","309618","optional-thesis-figure-package"
"new_pipeline\data\output\oral_slide_ghi_quantile_calibration_v2\slide9_calibrate_ghi_quantiles\SLIDE9_BUILD_REPORT.md","2249","optional-thesis-figure-package"
"new_pipeline\data\output\oral_slide_ghi_quantile_calibration_v2\slide9_calibrate_ghi_quantiles\slide9_calibrate_ghi_quantiles_preview.png","459942","optional-thesis-figure-package"
